class,subclass,preconditions,present,imperfective,perfective,imperative,infinitive
a,,,a',ahsk,,a,ahst
g-ts,,V,k,k,ts,ki,hst;'ihst;yhst;ihst
hg-hts,,,hk,hk,hts,hki,hihst
go-gots,,,kok,kok,kots,ko'i,kohst
sg-s,hi-hihst,,hsk,hsk,hs,hi,hihst
sg-s,a,C,hsk,hsk,hs,a,hihst;hst
sg-s,hst,V,hsk,hsk,hs,;hi,hst
sg-s,la,V,hsk,hsk,hs,la,hst
sg-h,,,hsk,hsk,h,ha;,hst
sg-h,hy,V,hsk,hsk,yh,yha,hst
hvsg,han,C,hvhsk,hvhsk,han,hvka,ht;hvhst
hvsg,hn,V,hvhsk,hvhsk,nh,hvka,ht;*ht;hvhst;*oht
hvsg,n,hV,hvhsk,hvhsk,n,hvka,*oht
husg,,,huhsk,huhsk,hun,huka,huhst
vhvsg,,,vhvhsk,vhvhsk,vnh,vhvka;vna,ht;vhvhst
ohvsg,,C,ohvhsk,ohvhsk,onh,onha,ohvhst
ohvsg,no-o,V,hvhsk,hvhsk,nh,nha,hvhst
e-aka,,,e',ehsk,a',aka,ehst
e-a,,,e',ehsk,e',a,et
eh,eh,,eh,ehsk,eh,vla,eht
eh,hehl,,heh,hehsk,helh,hvla,heht
eh,ehl,',eh,ehsk,elh,vla,eht
eh,a,,eh,ehsk,eh,a,ht
eh-el,,,eh,eh,el,*hsi;@hsi;ihsi;vla,eht
eg,vs,,ek;,ek,vhs,uka,vhst
eg,invs,,ek,ek,invhs;ehs,uka,invt
ih-ohd,,,ih;,ihsk,han;anh;an,a,oht
ih-il,,,ih,ih,il,ika,ihst
hih,hil,C,hih,hih,hil,hka;hika,hst
hih,hilh,C,hih,hih,hilh,hika,hihst
hih,lh,V,hih,hih,lh,ka;ha,hst
ih-vh,,,ih,ihsk;ih,vh,a,ht;vht
vnh,ih-a,,ih,ihsk,vnh,a,ht
vnh,vsk,,vhsk,vhsk,vnh,vna,ht;vht;vnht;vhst
i-vka,,,i',ihsk,an,vka,ot
i-a,i,,i',ihsk,;ihs,a,ihst
i-a,ihsk,,ihsk,ihsk,ihs,a,ihst
ih-ihi,,,ih,ihsk,ihs,ihi,ihihst
o,,C,o',ohsk,o',otsa,ohst
oh-ol-a,,,oh,oh,ol,a,ahst
oh,al,,hoh,hoh,hal,hka;aka,hst
oh,ol,,oh,oh,ol,aka,ot;hst;ahst
v-vhs,,C,v',vhsk,vhs,vna,vhst
vsk,,C,vhsk,vhsk,vn,vka;v'vka,vt
vsk,long,C,v'vhsk,v'vhsk,vn,vka;v'vka,vt
vsk,post-v,V,'vhsk,'vhsk,n,'vka,t
rev,gi,,ki',kihsk,kihs,ki,kihst
rev,i,,i',ihsk,ihs,i,ihst
rev,'i,,'i','ihsk,'ihs,'i,'ihst
rev,e,,e',ehsk,ehs,aki,ehst
stative,,,,,,,
stative,k,,k,k,,,
stative,h,,h,h,,,
stative,s,,h,hs,,,
stative,a',,a',a',,,
stative,eh,,eh,eh,,,
