corpus_id,entry_no,definition,prediction,present,present_1sg,imperfective,perfective,imperative,infinitive
4,8,it’s bouncing,FullEventful,atateka,katateka,atateko'i,utatinvhsv'i,hatatuka,utatinvti
5,9,he/she is limping,FullEventful,atateka,katateka,atateko'i,utatehsv'i,hatatuka,utatinvti
6,10,he/she is bouncing it,FullEventful,atatinvtiha,katatinvtiha,atatinvtihsko'i,utatinvthanv'i,hatatinvta,utatinvtohti
7,11,he/she is putting on a belt,FullEventful,atatlohiha,katatlohiha,atatlohiho'i,utatlolhv'i,hatatloka,utatlohsti
10,14,he/she is praying,FullEventful,atatolihstiha,katatolihstiha,atatolihstihsko'i,utatolihsthanv'i,hatatolihsta,utatolihstohti
16,20,he/she is fanning himself/herself,FullEventful,atanhoyeha,katanoyeha,atanhoyehsko'i,utanhoyehv'i,hatanhoyvla,utanhoyehti
18,22,he/she is visiting,FullEventful,atawhahthvhitoha,katawahthvhitoha,atawhahthvhitoho'i,utawhahthvhitolv'i,hatawhahthvhita,utawhahthvhitahsti
19,23,he/she is stretching,FullEventful,atayhahstiha,katayahstiha,atayhahstihsko'i,utayhahsthanv'i,hatayhahsta,utayhahstohti
21,25,he/she is denying him/her,FullEventful,atayhiha,tsiyata'yiha,atayhiho'i,utayhilv'i,hiyatayika,utayhsti
22,26,he/she is committing adultery,FullEventful,atayhoneha,katayoneha,atayhoneho'i,utayhonelv'i,hatayhonvla,utayhonehti
25,29,it’s ripping,FullEventful,atatsakaliha,katatsakali'a,atatsakalihsko'i,utatsakalvhv'i,hatatsakala,utatsakalhti
27,31,he/she is looking at himself/herself in a mirror,FullEventful,atakheha,katakheha,atakhehsko'i,utakhehv'i,hatakhvla,utakhehti
29,33,it’s beginning,FullEventful,ataleniha,,atalenihsko'i,utalenvhv'i,,utalenhti
29,33,it’s beginning,FullStative,ataleniha,,atalenihsko'i,utalenvhv'i,,utalenhti
29,33,it’s beginning,InfEventful,ataleniha,,atalenihsko'i,utalenvhv'i,,utalenhti
30,34,he/she is shopping,FullEventful,atananehsvhvhska,katananehsvhvhska,atananehsvhvhsko'i,utananehsvnhv'i,hatananehsvhvka,utananehsvhvhsti
32,36,he/she is taking off running,FullEventful,atanawhstiha,katanawhstiha,atanawhstihsko'i,utanawhsthanv'i,hatanawhsta,utanawhstohti
33,37,he/she is changing,FullEventful,atanetliyv'a,katanetliyv'a,atanetliyvhsko'i,utanetliyvhsv'i,hatanetliyvna,utanetliyvhsti
