name,subcase,form,classes
change-out,,iy,v-vhs
change-out,flexible,a'iy,v-vhs
change-alt,,hs,ih-vh[inf2];ih-vh[imperf2-inf2]
leaving,,iy,a
long,,at,i-a-i
long,no-a,t,i-a-i
hitting,il,vn,ih-il
hitting,hil,vn,hih-hil;hih-hil[imp2]
iterative,,ihs,ih-ohd[perf2]
iterative,no-i,hs,ih-ohd[perf2]
repetitive,,il,o
be-at,,it,oh-ol-a
spin,,tey,oh-ol;oh-ol[inf2];oh-ol[inf3]
hit-on,t,telu,hvsg-hn
hit-on,no-t,elu,hvsg-hn
become-long,a,a,g-ts[*]
become-long,i,i,g-ts[*]
become-long,o,o,g-ts[*]
in,,in,eg-vs
